Time [sec],Altitude True [m],Velocity True [m/s],Ballistic Coefficient True [],Range True [m],Range measurement [m],
45.992,2824.67,-157.979,0.001,5452.71,5462.86,
46.0922,2808.85,-157.805,0.001,5459.04,5623.48,
46.1924,2793.05,-157.631,0.001,5465.4,5529.27,
46.2926,2777.26,-157.459,0.001,5471.8,5433.43,
46.3928,2761.49,-157.287,0.001,5478.22,5475.49,
46.493,2745.74,-157.115,0.001,5484.68,5475.03,
46.5932,2730.01,-156.945,0.001,5491.16,5478.64,
46.6934,2714.29,-156.775,0.001,5497.68,5553.3,
46.7936,2698.59,-156.605,0.001,5504.23,5499.54,
46.8938,2682.91,-156.437,0.001,5510.8,5455.99,
46.994,2667.24,-156.269,0.001,5517.41,5573.2,
47.0942,2651.59,-156.101,0.001,5524.04,5606.35,
47.1944,2635.96,-155.934,0.001,5530.71,5499.24,
47.2946,2620.34,-155.768,0.001,5537.4,5667.45,
47.3948,2604.74,-155.603,0.001,5544.12,5620.12,
47.495,2589.16,-155.438,0.001,5550.87,5557.88,
47.5952,2573.59,-155.273,0.001,5557.65,5628.75,
47.6954,2558.04,-155.11,0.001,5564.46,5558.5,
47.7956,2542.51,-154.946,0.001,5571.29,5581,
47.8958,2526.99,-154.784,0.001,5578.15,5510.2,
47.996,2511.49,-154.622,0.001,5585.04,5495.78,
48.0962,2496,-154.46,0.001,5591.96,5601.26,
48.1964,2480.53,-154.3,0.001,5598.9,5681.43,
48.2966,2465.08,-154.139,0.001,5605.87,5636.44,
48.3968,2449.64,-153.98,0.001,5612.87,5535.04,
48.497,2434.22,-153.821,0.001,5619.89,5644.91,
48.5972,2418.82,-153.662,0.001,5626.94,5696.27,
48.6974,2403.43,-153.504,0.001,5634.02,5559.02,
48.7976,2388.05,-153.347,0.001,5641.12,5631.17,
48.8978,2372.7,-153.19,0.001,5648.25,5649.63,
48.998,2357.36,-153.034,0.001,5655.4,5682.97,
49.0982,2342.03,-152.878,0.001,5662.58,5598.37,
49.1984,2326.72,-152.723,0.001,5669.78,5688.88,
49.2986,2311.42,-152.568,0.001,5677.01,5708.15,
49.3988,2296.14,-152.414,0.001,5684.26,5732.77,
49.499,2280.88,-152.261,0.001,5691.54,5750.25,
49.5992,2265.63,-152.108,0.001,5698.84,5744.95,
49.6994,2250.4,-151.955,0.001,5706.16,5687.69,
49.7996,2235.18,-151.803,0.001,5713.51,5862.97,
49.8998,2219.98,-151.652,0.001,5720.89,5694.55,
50,2204.79,-151.501,0.001,5728.28,5771.38,
