Time [sec],Altitude True [m],Velocity True [m/s],Ballistic Coefficient True [],Range True [m],Range measurement [m],
10.6212,10586.3,-339.362,0.001,7497.13,7530.83,
10.7214,10552.4,-338.136,0.001,7471.87,7457.81,
10.8216,10518.6,-336.917,0.001,7446.77,7387.05,
10.9218,10484.9,-335.704,0.001,7421.83,7475.29,
11.022,10451.3,-334.498,0.001,7397.05,7336.48,
11.1222,10417.8,-333.299,0.001,7372.43,7262.7,
11.2224,10384.5,-332.106,0.001,7347.97,7381.99,
11.3226,10351.3,-330.919,0.001,7323.66,7393.98,
11.4228,10318.2,-329.739,0.001,7299.51,7283.62,
11.523,10285.2,-328.565,0.001,7275.52,7281.7,
11.6232,10252.3,-327.398,0.001,7251.68,7233.16,
11.7234,10219.6,-326.238,0.001,7228,7229.33,
11.8236,10186.9,-325.084,0.001,7204.47,7234.11,
11.9238,10154.4,-323.936,0.001,7181.09,7172.84,
12.024,10122,-322.794,0.001,7157.87,7153.4,
12.1242,10089.7,-321.66,0.001,7134.8,7236.91,
12.2244,10057.6,-320.531,0.001,7111.89,7121.91,
12.3246,10025.5,-319.409,0.001,7089.12,7103.01,
12.4248,9993.55,-318.293,0.001,7066.51,7124.75,
12.5251,9961.72,-317.184,0.001,7044.05,6998.28,
12.6253,9929.99,-316.081,0.001,7021.74,6993.39,
12.7255,9898.37,-314.984,0.001,6999.58,6978.58,
12.8257,9866.87,-313.894,0.001,6977.56,6944.88,
12.9259,9835.47,-312.81,0.001,6955.7,6923.42,
13.0261,9804.18,-311.732,0.001,6933.98,6957.55,
13.1263,9773,-310.661,0.001,6912.42,6988.62,
13.2265,9741.92,-309.595,0.001,6891,6907.08,
13.3267,9710.95,-308.536,0.001,6869.72,6849.41,
13.4269,9680.09,-307.483,0.001,6848.59,6778.02,
13.5271,9649.33,-306.437,0.001,6827.61,6752.96,
13.6273,9618.68,-305.396,0.001,6806.78,6738.57,
13.7275,9588.13,-304.362,0.001,6786.08,6836.61,
13.8277,9557.68,-303.334,0.001,6765.54,6794.96,
13.9279,9527.34,-302.311,0.001,6745.13,6770.92,
14.0281,9497.1,-301.295,0.001,6724.87,6731,
14.1283,9466.96,-300.285,0.001,6704.76,6631.64,
14.2285,9436.92,-299.281,0.001,6684.78,6752.27,
14.3287,9406.99,-298.284,0.001,6664.95,6735.22,
14.4289,9377.15,-297.292,0.001,6645.26,6702.42,
14.5291,9347.41,-296.306,0.001,6625.7,6668.85,
14.6293,9317.77,-295.325,0.001,6606.29,6585.81,
14.7295,9288.22,-294.351,0.001,6587.02,6618.45,
14.8297,9258.78,-293.383,0.001,6567.89,6642.29,
14.9299,9229.43,-292.421,0.001,6548.9,6613.07,
15.0301,9200.18,-291.464,0.001,6530.05,6618.35,
15.1303,9171.02,-290.513,0.001,6511.33,6574.08,
15.2305,9141.96,-289.569,0.001,6492.75,6512.07,
15.3307,9112.99,-288.629,0.001,6474.31,6479.09,
15.4309,9084.12,-287.696,0.001,6456.01,6426.16,
15.5311,9055.34,-286.768,0.001,6437.84,6551.7,
15.6313,9026.65,-285.846,0.001,6419.8,6412.34,
15.7315,8998.05,-284.93,0.001,6401.91,6394.09,
15.8317,8969.55,-284.019,0.001,6384.14,6358.47,
15.9319,8941.13,-283.114,0.001,6366.52,6268.8,
16.0321,8912.81,-282.215,0.001,6349.02,6351.2,
16.1323,8884.58,-281.321,0.001,6331.66,6276,
16.2325,8856.43,-280.432,0.001,6314.43,6293.9,
16.3327,8828.38,-279.549,0.001,6297.34,6232.18,
16.4329,8800.41,-278.672,0.001,6280.38,6240,
16.5331,8772.53,-277.8,0.001,6263.55,6329.42,
16.6333,8744.74,-276.933,0.001,6246.85,6311.55,
16.7335,8717.03,-276.072,0.001,6230.28,6156.27,
16.8337,8689.41,-275.216,0.001,6213.84,6174.06,
16.9339,8661.88,-274.366,0.001,6197.53,6214.2,
17.0341,8634.43,-273.52,0.001,6181.35,6195.85,
17.1343,8607.07,-272.68,0.001,6165.3,6151.86,
17.2345,8579.79,-271.846,0.001,6149.38,6093.6,
17.3347,8552.59,-271.016,0.001,6133.59,6156.87,
17.4349,8525.47,-270.192,0.001,6117.92,6079.37,
17.5351,8498.44,-269.373,0.001,6102.38,5968.35,
17.6353,8471.49,-268.559,0.001,6086.97,6049.86,
17.7355,8444.62,-267.75,0.001,6071.69,6081.28,
17.8357,8417.83,-266.946,0.001,6056.53,6076.61,
17.9359,8391.13,-266.148,0.001,6041.5,6088.51,
18.0361,8364.5,-265.354,0.001,6026.59,5961.47,
18.1363,8337.95,-264.565,0.001,6011.81,6055.83,
18.2365,8311.48,-263.782,0.001,5997.16,5969.45,
18.3367,8285.09,-263.003,0.001,5982.62,5999.3,
18.4369,8258.77,-262.229,0.001,5968.22,6054.18,
18.5371,8232.53,-261.46,0.001,5953.93,5953.29,
18.6373,8206.37,-260.696,0.001,5939.77,5985.39,
18.7375,8180.29,-259.937,0.001,5925.73,5981.5,
18.8377,8154.28,-259.182,0.001,5911.81,5925.61,
18.9379,8128.35,-258.432,0.001,5898.01,5914.61,
19.0381,8102.49,-257.687,0.001,5884.34,5753.7,
19.1383,8076.71,-256.947,0.001,5870.79,5838.97,
19.2385,8051,-256.211,0.001,5857.35,5891.46,
19.3387,8025.36,-255.48,0.001,5844.04,5808.46,
19.4389,7999.8,-254.754,0.001,5830.85,5839.7,
19.5391,7974.31,-254.032,0.001,5817.78,5778.4,
19.6393,7948.89,-253.315,0.001,5804.82,5763.71,
19.7395,7923.55,-252.602,0.001,5791.99,5766.13,
19.8397,7898.27,-251.894,0.001,5779.27,5795.71,
19.9399,7873.07,-251.191,0.001,5766.67,5782.75,
20.0401,7847.93,-250.492,0.001,5754.19,5701.36,
20.1403,7822.87,-249.797,0.001,5741.83,5768.09,
20.2405,7797.87,-249.106,0.001,5729.58,5662.97,
20.3407,7772.95,-248.42,0.001,5717.45,5690.92,
20.4409,7748.09,-247.739,0.001,5705.44,5711.69,
20.5411,7723.3,-247.061,0.001,5693.54,5679.66,
20.6413,7698.58,-246.388,0.001,5681.75,5723.96,
20.7415,7673.92,-245.72,0.001,5670.08,5690.67,
20.8417,7649.34,-245.055,0.001,5658.53,5640.79,
20.9419,7624.81,-244.395,0.001,5647.09,5653.47,
21.0421,7600.36,-243.739,0.001,5635.77,5653.61,
21.1423,7575.97,-243.087,0.001,5624.55,5616.73,
21.2425,7551.64,-242.439,0.001,5613.46,5644.24,
21.3427,7527.38,-241.795,0.001,5602.47,5593.55,
21.4429,7503.19,-241.155,0.001,5591.6,5561.47,
21.5431,7479.06,-240.52,0.001,5580.83,5558.81,
21.6433,7454.99,-239.888,0.001,5570.18,5553.19,
21.7435,7430.98,-239.26,0.001,5559.65,5504.84,
21.8437,7407.04,-238.637,0.001,5549.22,5545.72,
21.9439,7383.16,-238.017,0.001,5538.9,5553.27,
22.0441,7359.34,-237.401,0.001,5528.7,5576.06,
22.1443,7335.58,-236.789,0.001,5518.6,5492.32,
22.2445,7311.89,-236.181,0.001,5508.61,5441.23,
